,TimeStamp,error_0,error_1,error_2,error_3,high_pressure,low_pressure,cond_air,cond_in,cond_out,phe_out,cmp_speed,cmp_status,cmp_input_voltage,cmp_input_current,cmp_inv_temp,cmp_phase_curr,cmp_hv_under_voltage,cmp_hv_over_voltage,cmp_lv_under_voltage,cmp_lv_over_voltage,cmp_over_heat,cmp_over_load,cmp_communication_error,cmp_temp_sensor,cmp_voltage_sensor,cmp_in_power,cmp_over_current,cmp_over_current_sensor,cmp_wire_unbalance,cmp_stall,cmp_temp_sensor_1_status,cmp_temp_sensor_2_status,cmp_voltage_sensor_1_status,cmp_voltage_sensor_2_status,cmp_current_sensor_status,cmp_inpower_sensor_status,t_glyc_in,t_glyc_out,t_amb_1,t_amb_2,u_dut,p_glyc_in,p_glyc_out,i_dut,v_glyc,rh_amb,l3_voltage,l3_power,fb_k1,phase_set_point,proportional_term,integral_term,derivative_term,t0,tc,superheat,sub_cooling
0,2023-06-28 13:19:54.702,0,0,0,0,9.27,9.27,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.84,16.99,26.11,25.72,24.1,1.03,1.03,0.37,0.04,55.35,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.955072204350984,23.955072204350984,0.8449277956490171,-1.0449277956490164
1,2023-06-28 13:19:55.102,0,0,0,0,9.25,9.26,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.84,16.97,26.11,25.72,24.1,1.03,1.03,0.51,0.04,55.18,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.9129716087333,23.87083764874768,0.8870283912666999,-1.1291623512523188
2,2023-06-28 13:19:55.203,0,0,0,0,9.17,9.25,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.84,16.97,26.1,25.72,24.1,1.03,1.03,0.51,0.04,55.18,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.87083764874768,23.5325572389296,0.9291623512523195,-1.4674427610704015
3,2023-06-28 13:19:55.502,0,0,0,0,9.22,9.27,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.84,16.96,26.1,25.72,24.1,1.03,1.03,0.51,0.04,55.18,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.955072204350984,23.74423495057738,0.8449277956490171,-1.255765049422621
4,2023-06-28 13:19:55.701,0,0,0,0,9.27,9.26,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.84,16.96,26.1,25.74,24.1,1.03,1.03,0.5,0.04,55.21,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.9129716087333,23.955072204350984,0.8870283912666999,-1.0449277956490164
5,2023-06-28 13:19:56.002,0,0,0,0,9.22,9.27,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.86,16.97,26.1,25.74,24.1,1.03,1.03,0.5,0.04,55.21,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.955072204350984,23.74423495057738,0.8449277956490171,-1.255765049422621
6,2023-06-28 13:19:56.302,0,0,0,0,9.25,9.25,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.86,16.97,26.1,25.73,24.1,1.03,1.03,0.49,0.04,55.21,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.87083764874768,23.87083764874768,0.9291623512523195,-1.1291623512523188
7,2023-06-28 13:19:56.601,0,0,0,0,9.25,9.25,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.87,16.94,26.1,25.73,24.1,1.03,1.03,0.49,0.04,55.35,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.87083764874768,23.87083764874768,0.9291623512523195,-1.1291623512523188
8,2023-06-28 13:19:56.802,0,0,0,0,9.22,9.26,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.87,16.94,26.1,25.74,24.1,1.03,1.03,0.49,0.04,55.35,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.9129716087333,23.74423495057738,0.8870283912666999,-1.255765049422621
9,2023-06-28 13:19:57.103,0,0,0,0,9.25,9.27,24.9,25.1,25.0,24.8,0,0,24.0,0.0,25.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,7.86,16.94,26.11,25.74,24.1,1.03,1.03,0.48,0.04,55.35,0.0,0.0,1,54.66255534580472,-0.0,54.66255534580472,0.0,23.955072204350984,23.87083764874768,0.8449277956490171,-1.1291623512523188
